exchange ask,price ask,exchange bid,price bid,profit
poloniex,49334.61,oceanex,49893.95,1.13
poloniex,49549.99,oceanex,50218.15,1.35
poloniex,49535.14,oceanex,50218.15,1.38
poloniex,49599.99,oceanex,50218.15,1.25
poloniex,49600.0,oceanex,50212.53,1.23
poloniex,49735.0,oceanex,50206.91,0.95
yobit,49835.0,coinlist,50305.43,0.94
poloniex,49805.01,coinlist,50259.23,0.91
yobit,49834.99999899,coinlist,50323.47,0.98
yobit,49834.99999899,coinlist,50393.85,1.12
poloniex,49944.0,coinlist,50319.43,0.75
yobit,49900.0,coinlist,50322.47,0.85
poloniex,49821.9,coinlist,50190.8,0.74
poloniex,49826.46,coinlist,50211.79,0.77
oceanex,49569.63,coinlist,50087.49,1.04
oceanex,49549.11,indodax,49952.75,0.81
oceanex,49745.31,latoken,49975.93,0.46
poloniex,49789.29,binanceus,49972.05,0.37
coinsph,49899.99,gate,50007.5,0.22
oceanex,49613.07,huobi,50071.41,0.92
oceanex,49613.07,binance,49972.08,0.72
oceanex,49613.07,bitrue,50066.07,0.91
oceanex,49889.44,cryptocom,50058.99,0.34
coinsph,49899.99,okx,50019.3,0.24
coinsph,49899.0,gateio,50035.5,0.27
coinsph,49899.0,bybit,49992.85,0.19
coinsph,49898.99,oceanex,49951.46,0.11
oceanex,49833.08,deribit,49930.97,0.2
oceanex,49833.08,whitebit,49937.71,0.21
coinsph,49898.99,coinlist,50022.3,0.25
bitfinex,49943.0,bitmart,49999.98,0.11
coinsph,49898.99,coinlist,50133.99,0.47
coinsph,49898.99,oceanex,50052.02,0.31
coinsph,49898.99,oceanex,50010.58,0.22
coinsph,49898.99,gateio,50035.4,0.27
coinsph,49898.99,indodax,50000.0,0.2
coinsph,49898.99,coinbasepro,50054.12,0.31
coinsph,49898.99,oceanex,50245.33,0.69
coinsph,49898.99,bitcoincom,50144.86,0.49
coinsph,49899.0,oceanex,50158.41,0.52
coinsph,49899.0,oceanex,50428.82,1.06
coinsph,49899.0,oceanex,50557.76,1.32
coinsph,49899.0,oceanex,50209.09,0.62
coinsph,49899.0,oceanex,50332.28,0.87
coinsph,49899.0,oceanex,50230.06,0.66
coinsph,49899.0,oceanex,50369.24,0.94
coinsph,49899.0,binanceus,50142.68,0.49
coinsph,49899.0,oceanex,50119.71,0.44
coinsph,49899.0,kucoin,50159.9,0.52
coinsph,49898.0,bitget,50131.08,0.47
coinsph,49898.0,coinlist,50112.95,0.43
coinsph,49895.0,gemini,50150.9,0.51
coinsph,49894.0,wazirx,50200.0,0.61
coinsph,49894.0,bequant,50064.59,0.34
oceanex,49964.4,coinlist,50203.56,0.48
oceanex,49749.91,coinlist,50192.32,0.89
oceanex,49770.27,coinlist,50218.73,0.9
indodax,48502.0,whitebit,48871.26,0.76
indodax,48700.0,phemex,48966.51,0.55
tokocrypto,49074.78,binance,49256.0,0.37
cryptocom,49072.63,phemex,49133.1,0.12
mexc,49046.8,coinlist,49160.12,0.23
wazirx,48937.0,bitbay,49093.319442,0.32
wazirx,48937.0,gateio,49078.9,0.29
bequant,49080.84,coinlist,49190.57,0.22
bitstamp,49145.0,coinlist,49238.85,0.19
indodax,49156.449992,digifinex,49366.13,0.43
coinsph,51387.99,binance,51798.76,0.8
coinsph,51387.99,wazirx,51701.0,0.61
coinsph,51387.99,bequant,51566.12,0.35
indodax,51794.310002,p2b,52149.47,0.69
kraken,52052.1,binance,52244.99,0.37
